conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.90089E+18,Mon Mar 17 06:12:30 +0000 2025,0,@Ary_PrasKe2 @2TRafiS1 @Anak__Ogi @AntoniusCDN @ArjayaDirja @Marbot_Udien @King_PWS_ @HumorJonTampan @GunRomli @GM_Warrios @Cintada16 Efesiensi Anggaran jadi rapat di hotel,1.90152E+18,,Ary_PrasKe2,in,,0,0,0,https://x.com/iman_syafri/status/1901516979120562383,1.59537E+18,iman_syafri
1.9015E+18,Mon Mar 17 05:05:34 +0000 2025,1,@kimmyexp aman yg 50 lumayan buat efesiensi anggaran hampers‍↕️ https://t.co/Gov0qrVrFC,1.9015E+18,https://pbs.twimg.com/media/GmN8Sp6aYAAYFRR.jpg,kimmyexp,in,"Bekasi, Jawa Barat",0,1,0,https://x.com/poweranjirr/status/1901500133185073337,1.74536E+18,poweranjirr
1.90146E+18,Mon Mar 17 02:18:36 +0000 2025,3,Jika para Anggota dewan sdh jenuh rapat di gedung DPR/MPR Sebaiknya jgn rapat dihotel yg harus ngeluarin biaya mahal disaat efesiensi Anggaran Bagusnya Lqngsung Pindah di IKN saja.. biar gak mangkrak,1.90146E+18,,,in, Indonesia,0,0,0,https://x.com/MisdiPriansyah4/status/1901458114576322783,9.33697E+17,MisdiPriansyah4
1.90141E+18,Sun Mar 16 23:05:58 +0000 2025,0,Efesiensi anggaran tapi Rapat DPR dihotel dikawal tentara dgn kendaraan taktis. Alasannya lakukan maraton rapat agar bisa istirahat. Padahal selama ini di ruang sidang kan bisa istirahat? https://t.co/OGlt2ULA71,1.90141E+18,https://pbs.twimg.com/ext_tw_video_thumb/1901409620222230528/pu/img/mKZBMy9EBrgfXHxS.jpg,,in,Denpasar - Jakarta,0,0,0,https://x.com/MartaArdy/status/1901409636713947264,1.29014E+18,MartaArdy
1.90139E+18,Sun Mar 16 22:03:34 +0000 2025,0,Kenapa harus di hotel ? Kan ada gedung DPR RI . Katanya mo efesiensi anggaran .,1.90139E+18,,,in,Indonesia ,0,0,0,https://x.com/IrsulCh/status/1901393933672100145,1.76131E+18,IrsulCh
1.90139E+18,Sun Mar 16 22:02:50 +0000 2025,0,rapat di hotel mewah di tengah efesiensi anggaran #TolakRUUTNI,1.90139E+18,,,in,,0,0,0,https://x.com/urbestparthere/status/1901393746899648618,1.65608E+18,urbestparthere
1.90121E+18,Sun Mar 16 21:28:37 +0000 2025,1,@barengwarga Katanya efesiensi kontol! Rapat malah di hotel punya ruang DPR punya ruang rapat resmi knp ga disitu? Knp harus sembunyi² di hotel? Buang² anggaran ga jelas juga ngent*t. Slama ini gue ga komen soal botak ini tpi kli ini wajib di tegur sih!,1.90139E+18,,barengwarga,in,,0,0,0,https://x.com/bani_nusa/status/1901385138665410821,1.55297E+18,bani_nusa
1.90127E+18,Sun Mar 16 21:23:49 +0000 2025,0,@Franken_blues @prabowo kepriben donge kupinge pada ora krungu apah efesiensi anggaran..eeh malah neng hotel wanyad pada,1.90138E+18,,Franken_blues,in,Nowhwere,0,0,0,https://x.com/Odoubelenye/status/1901383927862100318,220276575,Odoubelenye
1.90121E+18,Sun Mar 16 21:05:20 +0000 2025,0,@ARSIPAJA Rapat kok diem diem mana dihotel lagi katanya efesiensi anggaran tai emang pemerintah #TolakRUUTNI,1.90138E+18,,ARSIPAJA,in,,0,0,0,https://x.com/gargamels_/status/1901379277674910185,1.86773E+18,gargamels_
1.9012E+18,Sun Mar 16 19:56:21 +0000 2025,0,@Piyusaja2 Kejam. Sama sekali tidak ada empati kepada rakyat. Tidak perduli dengan keadaan Negeri yang lagi kembang-kempis sampai perlu efesiensi anggaran.,1.90136E+18,,Piyusaja2,in,"Kota Surabaya, Jawa Timur",0,0,0,https://x.com/rangkutifuat/status/1901361919078064336,1.60377E+18,rangkutifuat
